name,category,lat,lon
Expo 2020 Site,Landmark,24.9606,55.1506
Marina Mall,Landmark,25.0765,55.1407
Hamdan Sports Complex,Landmark,25.0512,55.3181
Motor City,Landmark,25.0449,55.2395
Jabel Ali,Landmark,25.0034,54.9904
IMG World Adventures,Landmark,25.0821,55.3182
Dubai Parks and Resorts,Landmark,24.9178,55.0003
Dubai Cycling Course,Landmark,25.0012,55.3043
Sports City and Dubai Swimming Academy,Landmark,25.0409,55.2199
Downtown Dubai,Landmark,25.1934,55.2765
Global Village,Landmark,25.0709,55.3078
Dubai Mall,Landmark,25.1983,55.2788
Mirdif City Centre,Landmark,25.2163,55.4078
Ibn Battuta Mall,Landmark,25.0445,55.1203
Burj Al Arab,Landmark,25.1412,55.1856
Dubai Internatial Airport (DXB),Landmark,25.2532,55.3657
Al Maktoum International Airport (DWC),Landmark,24.8903,55.1363
Mall of the Emirates,Landmark,25.1181,55.2006
Financial Centre,Metro,25.211,55.276
Al Jafiliya,Metro,25.233,55.292
Burj Khalifa / Dubai Mall,Metro,25.202,55.27
Nakheel Harbour & Tower,Metro,25.058,55.127
Emirates Towers,Metro,25.217,55.28
Airport Terminal 1,Metro,25.248,55.352
Sharaf DG,Metro,25.115,55.191
Noor Bank,Metro,25.156,55.228
Nakheel,Metro,25.089,55.158
Al Qiyadah,Metro,25.278,55.353
Stadium,Metro,25.278,55.361
GGICO,Metro,25.249,55.34
Ibn Battuta,Metro,25.046,55.117
Al Fahidi,Metro,25.258,55.297
Al Nahda,Metro,25.273,55.37
Business Bay,Metro,25.191,55.26
Media City,Tram,25.094,55.152
Jumeirah Beach Residence 2,Tram,25.074,55.132
Jumeirah Lakes Towers,Tram,25.072,55.138
Mina Seyahi,Tram,25.091,55.148
Jumeirah Lakes Towers,Metro,25.071,55.139
Emirates,Metro,25.241,55.366
Rashidiya,Metro,25.23,55.391
Baniyas Square,Metro,25.269,55.307
Dubai Marina Mall,Tram,25.076,55.142
Palm Jumeirah,Tram,25.098,55.156
Airport Terminal 3,Metro,25.245,55.359
Etisalat,Metro,25.255,55.401
Burj Khalifa,Landmark,25.1971,55.2743
Dubai Internet City,Metro,25.102,55.174
DAMAC Properties,Metro,25.08,55.148
First Abu Dhabi Bank,Metro,25.127,55.208
UAE Exchange,Metro,24.977,55.091
Al Rigga,Metro,25.263,55.324
Danube,Metro,25.001,55.096
Dubai Healthcare City,Metro,25.231,55.323
ADCB,Metro,25.245,55.298
Al Qusais,Metro,25.263,55.387
Dubai Airport Free Zone,Metro,25.27,55.375
World Trade Centre,Metro,25.225,55.285
Deira City Centre,Metro,25.255,55.33
Al Ghubaiba,Metro,25.265,55.289
Abu Baker Al Siddique,Metro,25.271,55.333
Salah Al Din,Metro,25.27,55.321
Jumeirah Beach Residence 1,Tram,25.08,55.138
Al Jadaf,Metro,25.225,55.334
Abu Hail,Metro,25.275,55.346
Al Ras,Metro,25.269,55.294
Union,Metro,25.266,55.314
Dubai Marina,Tram,25.081,55.147
Marina Towers,Tram,25.086,55.15
Knowledge Village,Tram,25.104,55.162
Al Sufouh,Tram,25.108,55.165
Energy,Metro,25.026,55.101
BurJuman,Metro,25.255,55.304
Mall of the Emirates,Metro,25.121,55.2
Oud Metha,Metro,25.244,55.316
Palm Deira,Metro,25.276,55.301
Creek,Metro,25.219,55.339
